Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+
Career Totals,377,307,1334,1186,156,326,74,11,39,152,21,6,129,308,0.275,0.35,0.454,0.804,539,11,11,1,7,10,11,0.339,100
Last 7 days,6,6,23,22,3,7,0,0,1,1,1,0,1,3,0.318,0.348,0.455,0.802,10,1,0,0,0,0,0,0.333,100
Last 14 days,11,11,47,44,3,12,2,0,1,2,1,0,3,10,0.273,0.319,0.386,0.706,17,2,0,0,0,0,0,0.333,76
Last 28 days,19,19,82,79,12,24,2,0,6,11,1,0,3,20,0.304,0.329,0.557,0.886,44,2,0,0,0,0,0,0.34,117
Last 365days,151,135,586,527,83,159,38,4,23,72,4,2,51,129,0.302,0.369,0.52,0.889,274,4,6,1,1,4,4,0.362,120
