Rk,I,Player,Split,Year,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
36,,Gregor Blanco,Total,2014,17,3,28,23,1,2,0,1,0,1,0,0,4,4,.087,.222,.174,.396,4,0,0,1,0,0,1,.105,100,15
37,,Gregor Blanco,Last 28 days,2014,17,3,28,23,1,2,0,1,0,1,0,0,4,4,.087,.222,.174,.396,4,0,0,1,0,0,1,.105,100,15
38,,Ehire Adrianza,Total,2014,15,4,24,22,2,4,2,0,0,2,0,0,1,6,.182,.217,.273,.490,6,0,0,1,0,0,0,.250,100,39
39,,Ehire Adrianza,Last 28 days,2014,15,4,24,22,2,4,2,0,0,2,0,0,1,6,.182,.217,.273,.490,6,0,0,1,0,0,0,.250,100,38
40,,Yusmeiro Petit,Last 365days,2014,15,6,18,17,0,1,0,0,0,2,0,0,1,6,.059,.111,.059,.170,1,1,0,0,0,0,0,.091,,-50
41,,Brandon Hicks,Last 28 days,2014,14,11,47,34,6,7,2,0,1,3,0,1,10,15,.206,.400,.353,.753,12,2,1,2,0,1,0,.333,100,117
42,,Brandon Hicks,Last 365days,2014,14,11,47,34,6,7,2,0,1,3,0,1,10,15,.206,.400,.353,.753,12,2,1,2,0,1,0,.333,100,115
43,,Joaquin Arias,Total,2014,14,9,32,30,3,5,0,0,0,1,0,0,2,5,.167,.219,.167,.385,5,0,0,0,0,1,0,.200,100,12
44,,Joaquin Arias,Last 28 days,2014,14,9,32,30,3,5,0,0,0,1,0,0,2,5,.167,.219,.167,.385,5,0,0,0,0,1,0,.200,100,12
45,,Brandon Hicks,Total,2014,14,11,47,34,6,7,2,0,1,3,0,1,10,15,.206,.400,.353,.753,12,2,1,2,0,1,0,.333,100,117
46,,Hector Sanchez,Last 28 days,2014,13,4,27,24,0,3,2,0,0,3,0,0,1,11,.125,.185,.208,.394,5,1,1,0,1,0,0,.214,100,12
47,,Hector Sanchez,Total,2014,13,4,27,24,0,3,2,0,0,3,0,0,1,11,.125,.185,.208,.394,5,1,1,0,1,0,0,.214,100,12
48,,Mike Morse,Last 14 days,2014,12,11,41,37,5,7,2,0,2,4,0,0,3,11,.189,.268,.405,.674,15,3,1,0,0,0,1,.208,64,89
49,,Hunter Pence,Last 14 days,2014,12,12,51,44,5,11,3,0,0,1,3,0,6,7,.250,.353,.318,.671,14,1,1,0,0,1,1,.297,123,94
50,,Brandon Crawford,Last 14 days,2014,11,10,40,34,5,9,3,1,1,5,0,0,3,10,.265,.325,.500,.825,17,0,1,0,2,0,0,.320,106,131
Rk,I,Player,Split,Year,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
51,,Pablo Sandoval,Last 14 days,2014,11,11,46,43,4,7,1,0,1,2,0,0,3,10,.163,.217,.256,.473,11,2,0,0,0,0,1,.188,84,34
52,,Buster Posey,Last 14 days,2014,11,10,43,37,3,6,0,0,2,5,0,0,6,6,.162,.279,.324,.603,12,1,0,0,0,1,0,.138,66,72
53,,Angel Pagan,Last 14 days,2014,11,10,45,42,2,12,1,0,0,4,2,0,3,6,.286,.333,.310,.643,13,2,0,0,0,1,0,.333,50,85
54,,Brandon Belt,Last 14 days,2014,11,11,47,44,3,12,2,0,1,2,1,0,3,10,.273,.319,.386,.706,17,2,0,0,0,0,0,.333,66,100
55,,Joaquin Arias,Last 14 days,2014,10,6,22,21,1,4,0,0,0,0,0,0,1,3,.190,.227,.190,.418,4,0,0,0,0,0,0,.222,117,21
56,,Gregor Blanco,Last 14 days,2014,10,2,17,14,0,2,0,1,0,0,0,0,3,2,.143,.294,.286,.580,4,0,0,0,0,0,1,.167,197,67
57,,Jean Machi,Total,2014,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,0,,,
58,,Jean Machi,Last 28 days,2014,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,0,,,
59,,Santiago Casilla,Total,2014,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,0,,,
60,,Santiago Casilla,Last 28 days,2014,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,0,,,
